x;collocation_re;collocation_im;collocation_abs;galerkin_re;galerkin_im;galerkin_abs;abs_difference
-0.86749999999999994;1.1599992373450592;-0.67113850487032012;1.3401586187316363;1.1596720462448769;-0.66982724578338748;1.3392190985927353;0.0013514638023646522
-0.86250000000000004;1.1830679510306783;-0.65259705516398581;1.3511227528113921;1.1829880831393256;-0.65117493087484812;1.350366467093107;0.0014243652529546242
-0.85750000000000004;1.2053166292588273;-0.63352805442816429;1.3616702877405369;1.2054367746136629;-0.6320066446567143;1.3610695119946039;0.0015261463229166736
-0.85250000000000004;1.2267397649843432;-0.61394284871610738;1.371793086614556;1.2270030995859169;-0.61233958588662074;1.37131191741239;0.0016247451531854089
-0.84750000000000003;1.2473314329165346;-0.59385328400006832;1.3814837771249005;1.2476768142376877;-0.5921897002458486;1.3810814870468626;0.0016990583169230048
-0.84250000000000003;1.2670851897120399;-0.57327241178176225;1.3907358254167734;1.2674520447950937;-0.57157230896037525;1.3903703068699211;0.0017392332377373716
-0.83750000000000002;1.2859943963343019;-0.55221433532962805;1.399543589727297;1.2863270075777338;-0.55050201163520585;1.3991746264274148;0.0017443287172253378
-0.83250000000000002;1.3040533604585687;-0.53069123881795011;1.4079021123222368;1.3043043528930658;-0.52898987136419351;1.4074942731612463;0.0017197815020743167
-0.82750000000000001;1.3212561100561935;-0.5087166658110307;1.4158073154333948;1.3213889607689837;-0.50704695326980198;1.4153322572676437;0.0016749893379437786
-0.82250000000000001;1.3375964396633757;-0.4863062585058901;1.4232561303089955;1.3375870063854185;-0.48468536462403916;1.4226942406335394;0.0016209213315132908
-0.8175;1.3530694102844494;-0.46347295529214866;1.4302461359272207;1.3529065149150896;-0.46191376859218963;1.4295874816585141;0.001567672818762885
-0.8125;1.3676700970343323;-0.440230643005247;1.4367757352359183;1.3673552030285576;-0.43874138038783755;1.4360202819298527;0.0015221896657401327
-0.8075;1.3813933552196649;-0.41659613786489647;1.4428443935258546;1.380939509901872;-0.41518025771449008;1.4420015868243323;0.0014868396594109839
-0.80249999999999999;1.3942353633572924;-0.3925826473416909;1.4484520645951151;1.3936655242924751;-0.39123904268066034;1.4475398378349036;0.0014594485413795236
-0.79749999999999999;1.4061922280300654;-0.36820496323761265;1.4535994899300739;1.4055371520164313;-0.36692840085477252;1.4526428112417387;0.0014348296417767677
-0.79249999999999998;1.4172600550108851;-0.34348088889633821;1.4582884435414265;1.4165559451896654;-0.34226262628816695;1.4573175533170044;0.0014071014259129644
-0.78749999999999998;1.4274361423494006;-0.3184233050269798;1.4625208858917687;1.4267221395329162;-0.31725185794499422;1.4615692952449886;0.0013718922289452248
-0.78249999999999997;1.4367174453229081;-0.29304929820532877;1.4662997336403696;1.4360332153271067;-0.29191127419866858;1.4654021930947825;0.0013278815183928574
-0.77749999999999997;1.4451014943282234;-0.26737580865553917;1.4696285761932735;1.4444849605196095;-0.26625677465201597;1.4688190736831519;0.0012776349393332817
-0.77249999999999996;1.4525863341693173;-0.2414166049516252;1.472511132508622;1.4520716666158584;-0.24030194857575227;1.4718210324213539;0.0012277383788321982
-0.76749999999999996;1.4591699440168886;-0.21519164643583247;1.4749523281170867;1.4587859521622328;-0.21406735350439068;1.4744087920458986;0.0011880590642438329
-0.76249999999999996;1.4648510519141698;-0.18871494300859662;1.4769569844815345;1.4646199115931347;-0.18756831665679455;1.4765816465229902;0.0011696913433274351
-0.75750000000000006;1.4696284139701754;-0.16200440029793847;1.4785307236795549;1.4695648796729344;-0.16082463661136412;1.4783387633791192;0.00118147321725269
-0.75249999999999995;1.4735013470189236;-0.13507845006623728;1.4796798327134417;1.4736123584292538;-0.13385709400440679;1.4796793924802536;0.0012263907056862386
-0.74750000000000005;1.4764692942756146;-0.10795153464948752;1.4804104534796796;1.4767540064572922;-0.10668279568206256;1.4806024498433752;0.0013002921186634081
-0.74249999999999994;1.4785324176331769;-0.08064558658770786;1.4807301646918261;1.4789825985025191;-0.079326498468525616;1.4811084430360055;0.0013937920509493071
-0.73750000000000004;1.4796908051474742;-0.053173975164889017;1.4806459233972236;1.4802915652846052;-0.051804432479497051;1.4811977644721415;0.0014955132595454441
-0.73249999999999993;1.4799454174721058;-0.025558100627206426;1.4801660904115983;1.4806761888361486;-0.024140752224831585;1.4808729696041867;0.0015946483249354474
-0.72750000000000004;1.4792973046855511;0.0021859756257358171;1.4792989198060587;1.4801330329522653;0.0036459371893011322;1.4801375233722236;0.001682239430899531
-0.72249999999999992;1.4777480080891958;0.03003962152581785;1.4780532988607007;1.4786604656898867;0.031534773904203672;1.4789966919366053;0.0017515877105219167
-0.71750000000000003;1.4752998954199228;0.05798324716957011;1.4764389043839108;1.4762590475272788;0.059504319002334785;1.4774577961437951;0.0017982303204749661
-0.71250000000000002;1.4719549362541287;0.08600115496813153;1.4744651684657555;1.4729303348198883;0.087537473853749645;1.4755292543902083;0.0018198016596302257
-0.70750000000000002;1.4677170267732558;0.11407079833960336;1.4721431376445568;1.4686790882943808;0.11561074997387059;1.4732223558929365;0.0018157679935255095
-0.70250000000000001;1.4625885748200902;0.14217860643635782;1.4694829346822804;1.4635098209414987;0.14371013364941215;1.4705487406086715;0.0017872520864545751
-0.69750000000000001;1.4565749957192713;0.17030033700532971;1.4664968199552033;1.4574310508670256;0.17181139304520832;1.4675232273499106;0.0017366982385118954
-0.6925;1.4496793679479512;0.19842316614501193;1.4631958251433683;1.4504498628875566;0.19990218281522171;1.4641604035913627;0.0016676788547907041
-0.6875;1.4419083260694028;0.22652289974355808;1.4595931778740601;1.4425775058886212;0.22795917026730253;1.4604777450563196;0.0015845108544362786
-0.6825;1.4332660036506566;0.2545860390518121;1.4557010299167941;1.4338231878918244;0.25597008707859109;1.456492231223804;0.0014919930358539082
-0.67749999999999999;1.4237600027014075;0.28258936248689576;1.4515334281659043;1.4241997658142513;0.28391321072061215;1.4522230146114112;0.0013949787601724131
-0.67249999999999999;1.4133957012995417;0.31051834193943806;1.4471036760138649;1.4137178747605015;0.3117757407555386;1.4476886205054642;0.001298016764790743
-0.66749999999999998;1.4021815582695898;0.33835089078130559;1.4424265831035692;1.4023910059244653;0.3395374484041494;1.4429089411208991;0.0012049013704289676
-0.66249999999999998;1.3901242334201056;0.36607159277662393;1.4375165374283005;1.3902304548504505;0.36718485010070767;1.4379031371191766;0.0011183134005682844
-0.65749999999999997;1.3772330266165449;0.39365933723695212;1.4323890824064547;1.3772496034827662;0.39469875644488395;1.4326910269254058;0.0010395513851230915
-0.65250000000000008;1.3635158127653315;0.42109814609159613;1.4270595713924776;1.3634597207077965;0.42206504154212265;1.4272915992482183;0.00096852110517396878
-0.64749999999999996;1.3489827881621759;0.44836759743783405;1.4215442536868044;1.3488736285878327;0.44926499925115349;1.4217239906014969;0.00090401649720555147
